L	lambda	gamma	beta	log10_omega_bar	log10_chi	k	log10_kappa_1	log10_kappa_2
66.5	12.6	11.8	0.985	-2.65	-1.73	19.8	-2.19	1.06
66.5	12.6	11.8	0.985	-2.4	-0.982	19.8	-2.19	1.06
66.5	12.6	11.8	0.985	-2.4	-1.73	10.6	-2.19	1.06
66.5	12.6	11.8	0.985	-2.4	-1.73	19.8	-3.61	1.06
66.5	12.6	11.8	0.985	-2.4	-1.73	19.8	-2.19	2.08
66.5	12.6	11.8	0.985	-2.4	-1.73	19.8	-2.19	1.06
161	28.6	9.55	0.977	-3.21	-1.5	20.6	-2.63	1.69
176	28.6	9.55	0.977	-3.21	-1.5	20.6	-2.63	1.69
161	36.3	9.55	0.977	-3.21	-1.5	20.6	-2.63	1.69
161	28.6	12.7	0.977	-3.21	-1.5	20.6	-2.63	1.69
161	28.6	9.55	0.752	-3.21	-1.5	20.6	-2.63	1.69
161	28.6	9.55	0.977	-3.21	-1.5	20.6	-2.63	1.69
161	28.6	9.55	0.977	-3.21	-0.398	20.6	-2.63	1.69
161	28.6	9.55	0.977	-3.21	-1.5	9.71	-2.63	1.69
161	28.6	9.55	0.977	-3.21	-1.5	20.6	-4.65	1.69
161	28.6	9.55	0.977	-3.21	-1.5	20.6	-2.63	2.21
161	36.3	12.7	0.752	-3.21	-0.398	9.71	-4.65	2.21
176	28.6	12.7	0.752	-3.21	-0.398	9.71	-4.65	2.21
176	36.3	9.55	0.752	-3.21	-0.398	9.71	-4.65	2.21
176	36.3	12.7	0.977	-3.21	-0.398	9.71	-4.65	2.21
176	36.3	12.7	0.752	-3.21	-0.398	9.71	-4.65	2.21
176	36.3	12.7	0.752	-3.21	-1.5	9.71	-4.65	2.21
176	36.3	12.7	0.752	-3.21	-0.398	20.6	-4.65	2.21
176	36.3	12.7	0.752	-3.21	-0.398	9.71	-2.63	2.21
176	36.3	12.7	0.752	-3.21	-0.398	9.71	-4.65	1.69
176	36.3	12.7	0.752	-3.21	-0.398	9.71	-4.65	2.21
193	18.8	9.35	0.945	-3.48	-1.88	14.4	-4.06	2.27
47.7	18.8	9.35	0.945	-3.48	-1.88	14.4	-4.06	2.27
193	5.54	9.35	0.945	-3.48	-1.88	14.4	-4.06	2.27
193	18.8	13.4	0.945	-3.48	-1.88	14.4	-4.06	2.27
193	18.8	9.35	0.964	-3.48	-1.88	14.4	-4.06	2.27
193	18.8	9.35	0.945	-3.55	-1.88	14.4	-4.06	2.27
193	18.8	9.35	0.945	-3.48	-0.132	14.4	-4.06	2.27
193	18.8	9.35	0.945	-3.48	-1.88	7.25	-4.06	2.27
193	18.8	9.35	0.945	-3.48	-1.88	14.4	-4.41	2.27
193	18.8	9.35	0.945	-3.48	-1.88	14.4	-4.06	2.34
193	5.54	13.4	0.964	-3.55	-0.132	7.25	-4.41	2.34
47.7	18.8	13.4	0.964	-3.55	-0.132	7.25	-4.41	2.34
47.7	5.54	9.35	0.964	-3.55	-0.132	7.25	-4.41	2.34
47.7	5.54	13.4	0.945	-3.55	-0.132	7.25	-4.41	2.34
47.7	5.54	13.4	0.964	-3.48	-0.132	7.25	-4.41	2.34
47.7	5.54	13.4	0.964	-3.55	-1.88	7.25	-4.41	2.34
47.7	5.54	13.4	0.964	-3.55	-0.132	14.4	-4.41	2.34
47.7	5.54	13.4	0.964	-3.55	-0.132	7.25	-4.06	2.34
47.7	5.54	13.4	0.964	-3.55	-0.132	7.25	-4.41	2.27
47.7	5.54	13.4	0.964	-3.55	-0.132	7.25	-4.41	2.34
35.9	22.8	13.8	0.779	-2.91	-0.405	24.4	-2.23	1.88
150	22.8	13.8	0.779	-2.91	-0.405	24.4	-2.23	1.88
35.9	33.6	13.8	0.779	-2.91	-0.405	24.4	-2.23	1.88
35.9	22.8	9.88	0.779	-2.91	-0.405	24.4	-2.23	1.88
35.9	22.8	13.8	0.789	-2.91	-0.405	24.4	-2.23	1.88
35.9	22.8	13.8	0.779	-2.87	-0.405	24.4	-2.23	1.88
35.9	22.8	13.8	0.779	-2.91	-2	24.4	-2.23	1.88
35.9	22.8	13.8	0.779	-2.91	-0.405	17.2	-2.23	1.88
35.9	22.8	13.8	0.779	-2.91	-0.405	24.4	-2.74	1.88
35.9	22.8	13.8	0.779	-2.91	-0.405	24.4	-2.23	1.45
35.9	33.6	9.88	0.789	-2.87	-2	17.2	-2.74	1.45
150	22.8	9.88	0.789	-2.87	-2	17.2	-2.74	1.45
150	33.6	13.8	0.789	-2.87	-2	17.2	-2.74	1.45
150	33.6	9.88	0.779	-2.87	-2	17.2	-2.74	1.45
150	33.6	9.88	0.789	-2.91	-2	17.2	-2.74	1.45
150	33.6	9.88	0.789	-2.87	-0.405	17.2	-2.74	1.45
150	33.6	9.88	0.789	-2.87	-2	24.4	-2.74	1.45
150	33.6	9.88	0.789	-2.87	-2	17.2	-2.23	1.45
150	33.6	9.88	0.789	-2.87	-2	17.2	-2.74	1.88
150	33.6	9.88	0.789	-2.87	-2	17.2	-2.74	1.45
77.9	12.7	11.5	0.879	-2.3	-0.704	8.7	-2.82	1.28
193	12.7	11.5	0.879	-2.3	-0.704	8.7	-2.82	1.28
77.9	22.9	11.5	0.879	-2.3	-0.704	8.7	-2.82	1.28
77.9	12.7	7.82	0.879	-2.3	-0.704	8.7	-2.82	1.28
77.9	12.7	11.5	0.891	-2.3	-0.704	8.7	-2.82	1.28
77.9	12.7	11.5	0.879	-3.31	-0.704	8.7	-2.82	1.28
77.9	12.7	11.5	0.879	-2.3	-1.28	8.7	-2.82	1.28
77.9	12.7	11.5	0.879	-2.3	-0.704	11.5	-2.82	1.28
77.9	12.7	11.5	0.879	-2.3	-0.704	8.7	-3.25	1.28
77.9	12.7	11.5	0.879	-2.3	-0.704	8.7	-2.82	2.87
77.9	22.9	7.82	0.891	-3.31	-1.28	11.5	-3.25	2.87
193	12.7	7.82	0.891	-3.31	-1.28	11.5	-3.25	2.87
193	22.9	11.5	0.891	-3.31	-1.28	11.5	-3.25	2.87
193	22.9	7.82	0.879	-3.31	-1.28	11.5	-3.25	2.87
193	22.9	7.82	0.891	-2.3	-1.28	11.5	-3.25	2.87
193	22.9	7.82	0.891	-3.31	-0.704	11.5	-3.25	2.87
193	22.9	7.82	0.891	-3.31	-1.28	8.7	-3.25	2.87
193	22.9	7.82	0.891	-3.31	-1.28	11.5	-2.82	2.87
193	22.9	7.82	0.891	-3.31	-1.28	11.5	-3.25	1.28
193	22.9	7.82	0.891	-3.31	-1.28	11.5	-3.25	2.87
145	35.4	15.8	0.83	-3.86	-1.19	17.5	-4.93	2.93
94.6	35.4	15.8	0.83	-3.86	-1.19	17.5	-4.93	2.93
145	16.2	15.8	0.83	-3.86	-1.19	17.5	-4.93	2.93
145	35.4	17	0.83	-3.86	-1.19	17.5	-4.93	2.93
145	35.4	15.8	0.872	-3.86	-1.19	17.5	-4.93	2.93
145	35.4	15.8	0.83	-2.11	-1.19	17.5	-4.93	2.93
145	35.4	15.8	0.83	-3.86	-0.588	17.5	-4.93	2.93
145	35.4	15.8	0.83	-3.86	-1.19	21.4	-4.93	2.93
145	35.4	15.8	0.83	-3.86	-1.19	17.5	-3.79	2.93
145	35.4	15.8	0.83	-3.86	-1.19	17.5	-4.93	1.98
145	16.2	17	0.872	-2.11	-0.588	21.4	-3.79	1.98
94.6	35.4	17	0.872	-2.11	-0.588	21.4	-3.79	1.98
94.6	16.2	15.8	0.872	-2.11	-0.588	21.4	-3.79	1.98
94.6	16.2	17	0.83	-2.11	-0.588	21.4	-3.79	1.98
94.6	16.2	17	0.872	-3.86	-0.588	21.4	-3.79	1.98
94.6	16.2	17	0.872	-2.11	-1.19	21.4	-3.79	1.98
94.6	16.2	17	0.872	-2.11	-0.588	17.5	-3.79	1.98
94.6	16.2	17	0.872	-2.11	-0.588	21.4	-4.93	1.98
94.6	16.2	17	0.872	-2.11	-0.588	21.4	-3.79	2.93
94.6	16.2	17	0.872	-2.11	-0.588	21.4	-3.79	1.98
134	16.4	10.9	0.751	-2.24	-1.25	12.8	-4.25	2.48
157	16.4	10.9	0.751	-2.24	-1.25	12.8	-4.25	2.48
134	15	10.9	0.751	-2.24	-1.25	12.8	-4.25	2.48
134	16.4	15.6	0.751	-2.24	-1.25	12.8	-4.25	2.48
134	16.4	10.9	0.805	-2.24	-1.25	12.8	-4.25	2.48
134	16.4	10.9	0.751	-3.46	-1.25	12.8	-4.25	2.48
134	16.4	10.9	0.751	-2.24	-1.58	12.8	-4.25	2.48
134	16.4	10.9	0.751	-2.24	-1.25	5.09	-4.25	2.48
134	16.4	10.9	0.751	-2.24	-1.25	12.8	-2.14	2.48
134	16.4	10.9	0.751	-2.24	-1.25	12.8	-4.25	2.12
134	15	15.6	0.805	-3.46	-1.58	5.09	-2.14	2.12
157	16.4	15.6	0.805	-3.46	-1.58	5.09	-2.14	2.12
157	15	10.9	0.805	-3.46	-1.58	5.09	-2.14	2.12
157	15	15.6	0.751	-3.46	-1.58	5.09	-2.14	2.12
157	15	15.6	0.805	-2.24	-1.58	5.09	-2.14	2.12
157	15	15.6	0.805	-3.46	-1.25	5.09	-2.14	2.12
157	15	15.6	0.805	-3.46	-1.58	12.8	-2.14	2.12
157	15	15.6	0.805	-3.46	-1.58	5.09	-4.25	2.12
157	15	15.6	0.805	-3.46	-1.58	5.09	-2.14	2.48
157	15	15.6	0.805	-3.46	-1.58	5.09	-2.14	2.12
65.9	29.9	16.4	0.958	-3.68	-0.768	23.5	-2.05	1.87
85.1	29.9	16.4	0.958	-3.68	-0.768	23.5	-2.05	1.87
65.9	26.1	16.4	0.958	-3.68	-0.768	23.5	-2.05	1.87
65.9	29.9	8.95	0.958	-3.68	-0.768	23.5	-2.05	1.87
65.9	29.9	16.4	0.947	-3.68	-0.768	23.5	-2.05	1.87
65.9	29.9	16.4	0.958	-2.15	-0.768	23.5	-2.05	1.87
65.9	29.9	16.4	0.958	-3.68	-0.296	23.5	-2.05	1.87
65.9	29.9	16.4	0.958	-3.68	-0.768	15.2	-2.05	1.87
65.9	29.9	16.4	0.958	-3.68	-0.768	23.5	-4.98	1.87
65.9	29.9	16.4	0.958	-3.68	-0.768	23.5	-2.05	1.23
65.9	26.1	8.95	0.947	-2.15	-0.296	15.2	-4.98	1.23
85.1	29.9	8.95	0.947	-2.15	-0.296	15.2	-4.98	1.23
85.1	26.1	16.4	0.947	-2.15	-0.296	15.2	-4.98	1.23
85.1	26.1	8.95	0.958	-2.15	-0.296	15.2	-4.98	1.23
85.1	26.1	8.95	0.947	-3.68	-0.296	15.2	-4.98	1.23
85.1	26.1	8.95	0.947	-2.15	-0.768	15.2	-4.98	1.23
85.1	26.1	8.95	0.947	-2.15	-0.296	23.5	-4.98	1.23
85.1	26.1	8.95	0.947	-2.15	-0.296	15.2	-2.05	1.23
85.1	26.1	8.95	0.947	-2.15	-0.296	15.2	-4.98	1.87
85.1	26.1	8.95	0.947	-2.15	-0.296	15.2	-4.98	1.23
24	7.07	8.8	0.825	-3.04	-0.0905	9.14	-3.01	1.46
32.5	7.07	8.8	0.825	-3.04	-0.0905	9.14	-3.01	1.46
24	32.4	8.8	0.825	-3.04	-0.0905	9.14	-3.01	1.46
24	7.07	11.2	0.825	-3.04	-0.0905	9.14	-3.01	1.46
24	7.07	8.8	0.857	-3.04	-0.0905	9.14	-3.01	1.46
24	7.07	8.8	0.825	-3.71	-0.0905	9.14	-3.01	1.46
24	7.07	8.8	0.825	-3.04	-0.988	9.14	-3.01	1.46
24	7.07	8.8	0.825	-3.04	-0.0905	11.2	-3.01	1.46
24	7.07	8.8	0.825	-3.04	-0.0905	9.14	-4.02	1.46
24	7.07	8.8	0.825	-3.04	-0.0905	9.14	-3.01	2.59
24	32.4	11.2	0.857	-3.71	-0.988	11.2	-4.02	2.59
32.5	7.07	11.2	0.857	-3.71	-0.988	11.2	-4.02	2.59
32.5	32.4	8.8	0.857	-3.71	-0.988	11.2	-4.02	2.59
32.5	32.4	11.2	0.825	-3.71	-0.988	11.2	-4.02	2.59
32.5	32.4	11.2	0.857	-3.04	-0.988	11.2	-4.02	2.59
32.5	32.4	11.2	0.857	-3.71	-0.0905	11.2	-4.02	2.59
32.5	32.4	11.2	0.857	-3.71	-0.988	9.14	-4.02	2.59
32.5	32.4	11.2	0.857	-3.71	-0.988	11.2	-3.01	2.59
32.5	32.4	11.2	0.857	-3.71	-0.988	11.2	-4.02	1.46
32.5	32.4	11.2	0.857	-3.71	-0.988	11.2	-4.02	2.59
182	37	14.5	0.9	-2.6	-1.57	19.6	-4.74	2.83
120	37	14.5	0.9	-2.6	-1.57	19.6	-4.74	2.83
182	8.71	14.5	0.9	-2.6	-1.57	19.6	-4.74	2.83
182	37	12.3	0.9	-2.6	-1.57	19.6	-4.74	2.83
182	37	14.5	0.905	-2.6	-1.57	19.6	-4.74	2.83
182	37	14.5	0.9	-2.91	-1.57	19.6	-4.74	2.83
182	37	14.5	0.9	-2.6	-1.14	19.6	-4.74	2.83
182	37	14.5	0.9	-2.6	-1.57	21.2	-4.74	2.83
182	37	14.5	0.9	-2.6	-1.57	19.6	-3.05	2.83
182	37	14.5	0.9	-2.6	-1.57	19.6	-4.74	1.7
182	8.71	12.3	0.905	-2.91	-1.14	21.2	-3.05	1.7
120	37	12.3	0.905	-2.91	-1.14	21.2	-3.05	1.7
120	8.71	14.5	0.905	-2.91	-1.14	21.2	-3.05	1.7
120	8.71	12.3	0.9	-2.91	-1.14	21.2	-3.05	1.7
120	8.71	12.3	0.905	-2.6	-1.14	21.2	-3.05	1.7
120	8.71	12.3	0.905	-2.91	-1.57	21.2	-3.05	1.7
120	8.71	12.3	0.905	-2.91	-1.14	19.6	-3.05	1.7
120	8.71	12.3	0.905	-2.91	-1.14	21.2	-4.74	1.7
120	8.71	12.3	0.905	-2.91	-1.14	21.2	-3.05	2.83
120	8.71	12.3	0.905	-2.91	-1.14	21.2	-3.05	1.7
170	9.62	14.6	0.931	-2.84	-1.06	5.87	-3.32	1.15
102	9.62	14.6	0.931	-2.84	-1.06	5.87	-3.32	1.15
170	39.5	14.6	0.931	-2.84	-1.06	5.87	-3.32	1.15
170	9.62	14.1	0.931	-2.84	-1.06	5.87	-3.32	1.15
170	9.62	14.6	0.82	-2.84	-1.06	5.87	-3.32	1.15
170	9.62	14.6	0.931	-2.37	-1.06	5.87	-3.32	1.15
170	9.62	14.6	0.931	-2.84	-1.4	5.87	-3.32	1.15
170	9.62	14.6	0.931	-2.84	-1.06	23.7	-3.32	1.15
170	9.62	14.6	0.931	-2.84	-1.06	5.87	-3.39	1.15
170	9.62	14.6	0.931	-2.84	-1.06	5.87	-3.32	1.82
170	39.5	14.1	0.82	-2.37	-1.4	23.7	-3.39	1.82
102	9.62	14.1	0.82	-2.37	-1.4	23.7	-3.39	1.82
102	39.5	14.6	0.82	-2.37	-1.4	23.7	-3.39	1.82
102	39.5	14.1	0.931	-2.37	-1.4	23.7	-3.39	1.82
102	39.5	14.1	0.82	-2.84	-1.4	23.7	-3.39	1.82
102	39.5	14.1	0.82	-2.37	-1.06	23.7	-3.39	1.82
102	39.5	14.1	0.82	-2.37	-1.4	5.87	-3.39	1.82
102	39.5	14.1	0.82	-2.37	-1.4	23.7	-3.32	1.82
102	39.5	14.1	0.82	-2.37	-1.4	23.7	-3.39	1.15
102	39.5	14.1	0.82	-2.37	-1.4	23.7	-3.39	1.82
59.3	32.3	10.2	0.856	-3.27	-0.546	15.4	-4.4	2.52
185	32.3	10.2	0.856	-3.27	-0.546	15.4	-4.4	2.52
59.3	11.5	10.2	0.856	-3.27	-0.546	15.4	-4.4	2.52
59.3	32.3	10.7	0.856	-3.27	-0.546	15.4	-4.4	2.52
59.3	32.3	10.2	0.927	-3.27	-0.546	15.4	-4.4	2.52
59.3	32.3	10.2	0.856	-3.05	-0.546	15.4	-4.4	2.52
59.3	32.3	10.2	0.856	-3.27	-0.722	15.4	-4.4	2.52
59.3	32.3	10.2	0.856	-3.27	-0.546	13.7	-4.4	2.52
59.3	32.3	10.2	0.856	-3.27	-0.546	15.4	-3.56	2.52
59.3	32.3	10.2	0.856	-3.27	-0.546	15.4	-4.4	2.96
59.3	11.5	10.7	0.927	-3.05	-0.722	13.7	-3.56	2.96
185	32.3	10.7	0.927	-3.05	-0.722	13.7	-3.56	2.96
185	11.5	10.2	0.927	-3.05	-0.722	13.7	-3.56	2.96
185	11.5	10.7	0.856	-3.05	-0.722	13.7	-3.56	2.96
185	11.5	10.7	0.927	-3.27	-0.722	13.7	-3.56	2.96
185	11.5	10.7	0.927	-3.05	-0.546	13.7	-3.56	2.96
185	11.5	10.7	0.927	-3.05	-0.722	15.4	-3.56	2.96
185	11.5	10.7	0.927	-3.05	-0.722	13.7	-4.4	2.96
185	11.5	10.7	0.927	-3.05	-0.722	13.7	-3.56	2.52
185	11.5	10.7	0.927	-3.05	-0.722	13.7	-3.56	2.96
101	22.2	12.5	0.99	-3.89	-0.345	12.2	-3.79	2.17
137	22.2	12.5	0.99	-3.89	-0.345	12.2	-3.79	2.17
101	22.1	12.5	0.99	-3.89	-0.345	12.2	-3.79	2.17
101	22.2	7.15	0.99	-3.89	-0.345	12.2	-3.79	2.17
101	22.2	12.5	0.768	-3.89	-0.345	12.2	-3.79	2.17
101	22.2	12.5	0.99	-2.61	-0.345	12.2	-3.79	2.17
101	22.2	12.5	0.99	-3.89	-0.0607	12.2	-3.79	2.17
101	22.2	12.5	0.99	-3.89	-0.345	17.6	-3.79	2.17
101	22.2	12.5	0.99	-3.89	-0.345	12.2	-4.46	2.17
101	22.2	12.5	0.99	-3.89	-0.345	12.2	-3.79	1.35
101	22.1	7.15	0.768	-2.61	-0.0607	17.6	-4.46	1.35
137	22.2	7.15	0.768	-2.61	-0.0607	17.6	-4.46	1.35
137	22.1	12.5	0.768	-2.61	-0.0607	17.6	-4.46	1.35
137	22.1	7.15	0.99	-2.61	-0.0607	17.6	-4.46	1.35
137	22.1	7.15	0.768	-3.89	-0.0607	17.6	-4.46	1.35
137	22.1	7.15	0.768	-2.61	-0.345	17.6	-4.46	1.35
137	22.1	7.15	0.768	-2.61	-0.0607	12.2	-4.46	1.35
137	22.1	7.15	0.768	-2.61	-0.0607	17.6	-3.79	1.35
137	22.1	7.15	0.768	-2.61	-0.0607	17.6	-4.46	2.17
137	22.1	7.15	0.768	-2.61	-0.0607	17.6	-4.46	1.35
121	26.2	8.19	0.782	-2.45	-1.87	21.5	-2.44	1.56
60.7	26.2	8.19	0.782	-2.45	-1.87	21.5	-2.44	1.56
121	28.8	8.19	0.782	-2.45	-1.87	21.5	-2.44	1.56
121	26.2	16.1	0.782	-2.45	-1.87	21.5	-2.44	1.56
121	26.2	8.19	0.969	-2.45	-1.87	21.5	-2.44	1.56
121	26.2	8.19	0.782	-3.81	-1.87	21.5	-2.44	1.56
121	26.2	8.19	0.782	-2.45	-1.82	21.5	-2.44	1.56
121	26.2	8.19	0.782	-2.45	-1.87	7.65	-2.44	1.56
121	26.2	8.19	0.782	-2.45	-1.87	21.5	-2.41	1.56
121	26.2	8.19	0.782	-2.45	-1.87	21.5	-2.44	2.49
121	28.8	16.1	0.969	-3.81	-1.82	7.65	-2.41	2.49
60.7	26.2	16.1	0.969	-3.81	-1.82	7.65	-2.41	2.49
60.7	28.8	8.19	0.969	-3.81	-1.82	7.65	-2.41	2.49
60.7	28.8	16.1	0.782	-3.81	-1.82	7.65	-2.41	2.49
60.7	28.8	16.1	0.969	-2.45	-1.82	7.65	-2.41	2.49
60.7	28.8	16.1	0.969	-3.81	-1.87	7.65	-2.41	2.49
60.7	28.8	16.1	0.969	-3.81	-1.82	21.5	-2.41	2.49
60.7	28.8	16.1	0.969	-3.81	-1.82	7.65	-2.44	2.49
60.7	28.8	16.1	0.969	-3.81	-1.82	7.65	-2.41	1.56
60.7	28.8	16.1	0.969	-3.81	-1.82	7.65	-2.41	2.49
124	10.7	9.98	0.835	-3.43	-1.62	10.2	-2.09	2.71
154	10.7	9.98	0.835	-3.43	-1.62	10.2	-2.09	2.71
124	32.2	9.98	0.835	-3.43	-1.62	10.2	-2.09	2.71
124	10.7	9.28	0.835	-3.43	-1.62	10.2	-2.09	2.71
124	10.7	9.98	0.777	-3.43	-1.62	10.2	-2.09	2.71
124	10.7	9.98	0.835	-2.32	-1.62	10.2	-2.09	2.71
124	10.7	9.98	0.835	-3.43	-1.26	10.2	-2.09	2.71
124	10.7	9.98	0.835	-3.43	-1.62	23.2	-2.09	2.71
124	10.7	9.98	0.835	-3.43	-1.62	10.2	-2.69	2.71
124	10.7	9.98	0.835	-3.43	-1.62	10.2	-2.09	2.6
124	32.2	9.28	0.777	-2.32	-1.26	23.2	-2.69	2.6
154	10.7	9.28	0.777	-2.32	-1.26	23.2	-2.69	2.6
154	32.2	9.98	0.777	-2.32	-1.26	23.2	-2.69	2.6
154	32.2	9.28	0.835	-2.32	-1.26	23.2	-2.69	2.6
154	32.2	9.28	0.777	-3.43	-1.26	23.2	-2.69	2.6
154	32.2	9.28	0.777	-2.32	-1.62	23.2	-2.69	2.6
154	32.2	9.28	0.777	-2.32	-1.26	10.2	-2.69	2.6
154	32.2	9.28	0.777	-2.32	-1.26	23.2	-2.09	2.6
154	32.2	9.28	0.777	-2.32	-1.26	23.2	-2.69	2.71
154	32.2	9.28	0.777	-2.32	-1.26	23.2	-2.69	2.6
104	33.4	15.7	0.878	-3	-0.109	21.1	-4.2	1.06
43.8	33.4	15.7	0.878	-3	-0.109	21.1	-4.2	1.06
104	8	15.7	0.878	-3	-0.109	21.1	-4.2	1.06
104	33.4	15.1	0.878	-3	-0.109	21.1	-4.2	1.06
104	33.4	15.7	0.978	-3	-0.109	21.1	-4.2	1.06
104	33.4	15.7	0.878	-3.02	-0.109	21.1	-4.2	1.06
104	33.4	15.7	0.878	-3	-0.611	21.1	-4.2	1.06
104	33.4	15.7	0.878	-3	-0.109	13.1	-4.2	1.06
104	33.4	15.7	0.878	-3	-0.109	21.1	-4.34	1.06
104	33.4	15.7	0.878	-3	-0.109	21.1	-4.2	1.74
104	8	15.1	0.978	-3.02	-0.611	13.1	-4.34	1.74
43.8	33.4	15.1	0.978	-3.02	-0.611	13.1	-4.34	1.74
43.8	8	15.7	0.978	-3.02	-0.611	13.1	-4.34	1.74
43.8	8	15.1	0.878	-3.02	-0.611	13.1	-4.34	1.74
43.8	8	15.1	0.978	-3	-0.611	13.1	-4.34	1.74
43.8	8	15.1	0.978	-3.02	-0.109	13.1	-4.34	1.74
43.8	8	15.1	0.978	-3.02	-0.611	21.1	-4.34	1.74
43.8	8	15.1	0.978	-3.02	-0.611	13.1	-4.2	1.74
43.8	8	15.1	0.978	-3.02	-0.611	13.1	-4.34	1.06
43.8	8	15.1	0.978	-3.02	-0.611	13.1	-4.34	1.74
56.2	21	7.09	0.777	-2.36	-0.783	6.67	-4.79	1.72
96.4	21	7.09	0.777	-2.36	-0.783	6.67	-4.79	1.72
56.2	14.8	7.09	0.777	-2.36	-0.783	6.67	-4.79	1.72
56.2	21	12.5	0.777	-2.36	-0.783	6.67	-4.79	1.72
56.2	21	7.09	0.826	-2.36	-0.783	6.67	-4.79	1.72
56.2	21	7.09	0.777	-2.58	-0.783	6.67	-4.79	1.72
56.2	21	7.09	0.777	-2.36	-0.169	6.67	-4.79	1.72
56.2	21	7.09	0.777	-2.36	-0.783	18	-4.79	1.72
56.2	21	7.09	0.777	-2.36	-0.783	6.67	-3.85	1.72
56.2	21	7.09	0.777	-2.36	-0.783	6.67	-4.79	2.06
56.2	14.8	12.5	0.826	-2.58	-0.169	18	-3.85	2.06
96.4	21	12.5	0.826	-2.58	-0.169	18	-3.85	2.06
96.4	14.8	7.09	0.826	-2.58	-0.169	18	-3.85	2.06
96.4	14.8	12.5	0.777	-2.58	-0.169	18	-3.85	2.06
96.4	14.8	12.5	0.826	-2.36	-0.169	18	-3.85	2.06
96.4	14.8	12.5	0.826	-2.58	-0.783	18	-3.85	2.06
96.4	14.8	12.5	0.826	-2.58	-0.169	6.67	-3.85	2.06
96.4	14.8	12.5	0.826	-2.58	-0.169	18	-4.79	2.06
96.4	14.8	12.5	0.826	-2.58	-0.169	18	-3.85	1.72
96.4	14.8	12.5	0.826	-2.58	-0.169	18	-3.85	2.06
167	25.2	12.6	0.952	-3.79	-1.3	17.1	-2.96	2.12
191	25.2	12.6	0.952	-3.79	-1.3	17.1	-2.96	2.12
167	25.4	12.6	0.952	-3.79	-1.3	17.1	-2.96	2.12
167	25.2	11	0.952	-3.79	-1.3	17.1	-2.96	2.12
167	25.2	12.6	0.934	-3.79	-1.3	17.1	-2.96	2.12
167	25.2	12.6	0.952	-3.76	-1.3	17.1	-2.96	2.12
167	25.2	12.6	0.952	-3.79	-1.96	17.1	-2.96	2.12
167	25.2	12.6	0.952	-3.79	-1.3	8	-2.96	2.12
167	25.2	12.6	0.952	-3.79	-1.3	17.1	-3.31	2.12
167	25.2	12.6	0.952	-3.79	-1.3	17.1	-2.96	1.21
167	25.4	11	0.934	-3.76	-1.96	8	-3.31	1.21
191	25.2	11	0.934	-3.76	-1.96	8	-3.31	1.21
191	25.4	12.6	0.934	-3.76	-1.96	8	-3.31	1.21
191	25.4	11	0.952	-3.76	-1.96	8	-3.31	1.21
191	25.4	11	0.934	-3.79	-1.96	8	-3.31	1.21
191	25.4	11	0.934	-3.76	-1.3	8	-3.31	1.21
191	25.4	11	0.934	-3.76	-1.96	17.1	-3.31	1.21
191	25.4	11	0.934	-3.76	-1.96	8	-2.96	1.21
191	25.4	11	0.934	-3.76	-1.96	8	-3.31	2.12
191	25.4	11	0.934	-3.76	-1.96	8	-3.31	1.21
179	17.6	16.3	0.983	-3.52	-1.82	8.33	-4.35	1.91
26.9	17.6	16.3	0.983	-3.52	-1.82	8.33	-4.35	1.91
179	20.8	16.3	0.983	-3.52	-1.82	8.33	-4.35	1.91
179	17.6	10.3	0.983	-3.52	-1.82	8.33	-4.35	1.91
179	17.6	16.3	0.848	-3.52	-1.82	8.33	-4.35	1.91
179	17.6	16.3	0.983	-3.47	-1.82	8.33	-4.35	1.91
179	17.6	16.3	0.983	-3.52	-1.69	8.33	-4.35	1.91
179	17.6	16.3	0.983	-3.52	-1.82	5.52	-4.35	1.91
179	17.6	16.3	0.983	-3.52	-1.82	8.33	-2.76	1.91
179	17.6	16.3	0.983	-3.52	-1.82	8.33	-4.35	1.34
179	20.8	10.3	0.848	-3.47	-1.69	5.52	-2.76	1.34
26.9	17.6	10.3	0.848	-3.47	-1.69	5.52	-2.76	1.34
26.9	20.8	16.3	0.848	-3.47	-1.69	5.52	-2.76	1.34
26.9	20.8	10.3	0.983	-3.47	-1.69	5.52	-2.76	1.34
26.9	20.8	10.3	0.848	-3.52	-1.69	5.52	-2.76	1.34
26.9	20.8	10.3	0.848	-3.47	-1.82	5.52	-2.76	1.34
26.9	20.8	10.3	0.848	-3.47	-1.69	8.33	-2.76	1.34
26.9	20.8	10.3	0.848	-3.47	-1.69	5.52	-4.35	1.34
26.9	20.8	10.3	0.848	-3.47	-1.69	5.52	-2.76	1.91
26.9	20.8	10.3	0.848	-3.47	-1.69	5.52	-2.76	1.34
20.8	30.9	12	0.808	-2.08	-0.331	17.9	-3.37	2.3
126	30.9	12	0.808	-2.08	-0.331	17.9	-3.37	2.3
20.8	27	12	0.808	-2.08	-0.331	17.9	-3.37	2.3
20.8	30.9	14.5	0.808	-2.08	-0.331	17.9	-3.37	2.3
20.8	30.9	12	0.897	-2.08	-0.331	17.9	-3.37	2.3
20.8	30.9	12	0.808	-2.17	-0.331	17.9	-3.37	2.3
20.8	30.9	12	0.808	-2.08	-0.434	17.9	-3.37	2.3
20.8	30.9	12	0.808	-2.08	-0.331	15.5	-3.37	2.3
